Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity,Continent,Year
5,Finland,7.46899986,1.44357193,1.54024673,0.80915767,0.61795086,0.38261154,0.24548277,Europe,2017
5,Finland,7.413,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,Europe,2016
6,Finland,7.406,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,Europe,2015
24,France,6.592,1.324,1.472,1.045,0.436,0.183,0.111,Europe,2019
23,France,6.489,1.293,1.466,0.908,0.52,0.176,0.098,Europe,2018
31,France,6.44199991,1.43092346,1.38777685,0.84446585,0.47022212,0.17250243,0.12976231,Europe,2017
32,France,6.478,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,Europe,2016
29,France,6.575,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332,Europe,2015
104,Gabon,4.799,1.057,1.183,0.571,0.295,0.055,0.043,Africa,2019
103,Gabon,4.758,1.036,1.164,0.404,0.356,0.052,0.032,Africa,2018
118,Gabon,4.46500015,1.19821024,1.15562022,0.35657859,0.31232858,0.07604679,0.04378538,Africa,2017
134,Gabon,4.121,1.15851,0.72368,0.3494,0.28098,0.09314,0.06244,Africa,2016
143,Gabon,3.896,1.06024,0.90528,0.43372,0.31914,0.11091,0.06822,Africa,2015
120,Gambia,4.516,0.308,0.939,0.428,0.382,0.167,0.269,Africa,2019
119,Georgia,4.519,0.886,0.666,0.752,0.346,0.164,0.043,Europe,2019
128,Georgia,4.34,0.853,0.592,0.643,0.375,0.215,0.038,Europe,2018
125,Georgia,4.28599977,0.95061266,0.57061493,0.64954698,0.30941004,0.25166664,0.05400882,Europe,2017
126,Georgia,4.252,0.83792,0.19249,0.64035,0.32461,0.3188,0.06786,Europe,2016
130,Georgia,4.297,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547,Europe,2015
17,Germany,6.985,1.373,1.454,0.987,0.495,0.265,0.261,Europe,2019
15,Germany,6.965,1.34,1.474,0.861,0.586,0.28,0.273,Europe,2018
16,Germany,6.95100021,1.48792338,1.47252035,0.79895073,0.56251138,0.27673194,0.33626917,Europe,2017
16,Germany,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,Europe,2016
26,Germany,6.75,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,Europe,2015
98,Ghana,4.996,0.611,0.868,0.486,0.381,0.04,0.245,Africa,2019
